qubit_qiskit,qubit_pp,abs_error,z_pp,z_tebd
0,1,9.7161168000070575e-12,9.9999997800867668e-01,9.9999997801839280e-01
1,2,9.7158947554021324e-12,9.9999997800867668e-01,9.9999997801839258e-01
2,3,1.1102230246251565e-16,1.0000000000000000e+00,9.9999999999999989e-01
3,4,7.1942451995710144e-14,9.9999999998091360e-01,9.9999999998098554e-01
4,5,2.2204460492503131e-16,1.0000000000000000e+00,1.0000000000000002e+00
5,6,7.3940853440035426e-14,9.9999999998047751e-01,9.9999999998055145e-01
6,7,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
7,8,2.2204460492503131e-16,1.0000000000000000e+00,9.9999999999999978e-01
8,9,6.5413230387889598e-12,9.9867232553423912e-01,9.9867232554078045e-01
9,10,6.5412120164864973e-12,9.9867232553423924e-01,9.9867232554078045e-01
10,11,5.9733329393907297e-12,9.9975215221516800e-01,9.9975215222114133e-01
11,12,5.9733329393907297e-12,9.9975215221516789e-01,9.9975215222114122e-01
12,13,2.2204460492503131e-16,1.0000000000000000e+00,9.9999999999999978e-01
13,14,2.4524826613969708e-13,9.9999999993477429e-01,9.9999999993501953e-01
14,15,7.2449823917963840e-12,9.9999346912345888e-01,9.9999346913070386e-01
15,16,2.2315482794965646e-13,9.9999999994069855e-01,9.9999999994092170e-01
16,17,1.3166912005146969e-11,9.9480411881827979e-01,9.9480411883144670e-01
17,18,1.3167023027449432e-11,9.9480411881827968e-01,9.9480411883144670e-01
18,19,4.2200687389026825e-12,9.9924453413114911e-01,9.9924453413536918e-01
19,20,4.2197356719952950e-12,9.9924453413114911e-01,9.9924453413536884e-01
20,21,2.2204460492503131e-16,1.0000000000000002e+00,1.0000000000000000e+00
21,22,2.2204460492503131e-16,1.0000000000000000e+00,1.0000000000000002e+00
22,23,8.1129547524483314e-12,8.9713218770103320e-01,8.9713218770914616e-01
23,24,8.1133988416581815e-12,8.9713218770103309e-01,8.9713218770914649e-01
24,25,6.5415450833938849e-12,-9.9867232553423912e-01,-9.9867232554078067e-01
25,26,6.5413230387889598e-12,-9.9867232553423924e-01,-9.9867232554078056e-01
26,27,8.1139539531704941e-12,-8.9713218770103320e-01,-8.9713218770914716e-01
27,28,8.1132878193557190e-12,-8.9713218770103320e-01,-8.9713218770914649e-01
28,29,1.3166356893634656e-11,-9.9480411881827979e-01,-9.9480411883144615e-01
29,30,1.3166578938239581e-11,-9.9480411881827979e-01,-9.9480411883144637e-01
30,31,2.2204460492503131e-16,-1.0000000000000000e+00,-1.0000000000000002e+00
31,32,2.9676261448230434e-13,-9.9999999992117616e-01,-9.9999999992147293e-01
32,33,8.8817841970012523e-16,-1.0000000000000000e+00,-9.9999999999999911e-01
33,34,3.1685765122801968e-13,-9.9999999991568800e-01,-9.9999999991600486e-01
34,35,4.2190695381805199e-12,-9.9924453413114911e-01,-9.9924453413536818e-01
35,36,4.2187364712731323e-12,-9.9924453413114911e-01,-9.9924453413536785e-01
36,37,7.7715611723760958e-16,-1.0000000000000000e+00,-9.9999999999999922e-01
37,38,4.4408920985006262e-16,-1.0000000000000000e+00,-9.9999999999999956e-01
38,39,2.2204460492503131e-16,-1.0000000000000000e+00,-9.9999999999999978e-01
39,40,1.1102230246251565e-16,-1.0000000000000000e+00,-9.9999999999999989e-01
40,41,7.2446493248889965e-12,-9.9999346912345888e-01,-9.9999346913070353e-01
41,42,0.0000000000000000e+00,-1.0000000000000000e+00,-1.0000000000000000e+00
42,43,0.0000000000000000e+00,-1.0000000000000000e+00,-1.0000000000000000e+00
43,44,0.0000000000000000e+00,-1.0000000000000000e+00,-1.0000000000000000e+00
44,45,5.9736660062981173e-12,-9.9975215221516789e-01,-9.9975215222114155e-01
45,46,5.9737770286005798e-12,-9.9975215221516789e-01,-9.9975215222114167e-01
46,47,1.1102230246251565e-16,-1.0000000000000000e+00,-9.9999999999999989e-01
47,48,1.1102230246251565e-16,-1.0000000000000000e+00,-9.9999999999999989e-01
48,49,2.2204460492503131e-16,-1.0000000000000000e+00,-9.9999999999999978e-01
49,50,1.1102230246251565e-16,-1.0000000000000000e+00,-9.9999999999999989e-01
50,51,2.2204460492503131e-16,-1.0000000000000000e+00,-9.9999999999999978e-01
51,52,1.1102230246251565e-16,-1.0000000000000000e+00,-9.9999999999999989e-01
52,53,9.7161168000070575e-12,-9.9999997800867668e-01,-9.9999997801839280e-01
53,54,9.7162278223095200e-12,-9.9999997800867679e-01,-9.9999997801839302e-01
54,55,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
55,56,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
56,57,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
57,58,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
58,59,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
59,60,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
60,61,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
61,62,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
62,63,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
63,64,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
64,65,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
65,66,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
66,67,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
67,68,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
68,69,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
69,70,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
70,71,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
71,72,4.4408920985006262e-16,-1.0000000000000000e+00,-1.0000000000000004e+00
